prompt,expression,answer
"What's the result of (123 plus 456) times 789",(123+456)*789,456831.0
"What is (987 minus 654) times 321",(987-654)*321,106893.0
"Compute 1000 times 2000 divided by 500",1000*2000/500,4000.0
"Calculate 999999 divided by (111 times 222)",999999/(111*222),40.58108108108108
"How much is 123456 plus 654321 multiplied by 456?",123456+654321*456,298493832.0
"What is 987654 minus (31415 times 92)?",987654-(31415*92),-1902526.0
"Find the product of the sum of 111 and 222 and the sum of 333 and 444",(111+222)*(333+444),258741.0
"Calculate 987654321 divided by the product of 123 and 456",987654321/(123*456),17609.012997432605
"What's the sum of 1111 times 2 and 3333 times 4?",1111*2+3333*4,15554.0
"What is 55555 minus (11111 plus 22222)?",55555-(11111+22222),22222.0
"Compute (12 plus 34) times (56 plus 78)",(12+34)*(56+78),6164.0
"Calculate (9876 divided by 54) times 32",(9876/54)*32,5852.444444444444
"How much is 135792 plus 246813 minus 975318?",135792+246813-975318,-592713.0
"What is 89 times 98 plus 76 times 67?",89*98+76*67,13814.0
"Find the product of 123 and 987 divided by 456",123*987/456,266.23026315789474
"Calculate 654321 divided by 789 plus 456",654321/789+456,1285.3041825095056
"What's the result of (1234 plus 5678) divided by 9?",(1234+5678)/9,768.0
"What is (7890 minus 1234) divided by 56?",(7890-1234)/56,118.85714285714286
"Compute 987 times 654 plus 321 times 123",987*654+321*123,684981.0
"Calculate (123456 divided by 789) times 456",(123456/789)*456,71350.99619771863
"How much is 111 plus 222 plus 333 plus 444 plus 555?",111+222+333+444+555,1665.0
"What is 98765 minus 12345 minus 67890?",98765-12345-67890,18530.0
"Find the product of 135 and 975 divided by 225",135*975/225,585.0
"Calculate 9876543 divided by 2345 times 678",9876543/2345*678,2855563.391897654
"What's the sum of 1234 times 56 and 7890 times 12?",1234*56+7890*12,163784.0
"What is 77777 minus 33333 plus 11111?",77777-33333+11111,55555.0
"Compute (123 plus 456) times (789 plus 321)",(123+456)*(789+321),642690.0
"Calculate (987654 divided by 321) times (654 divided by 987)",(987654/321)*(654/987),2038.73317614976
"How much is 12345 plus 67890 multiplied by 13579?",12345+67890*13579,921890655.0
"What is 98765 minus 43210 times 56789?",98765-43210*56789,-2453753925.0
"Find the product of 111 and 222 and 333 and 444",111*222*333*444,3643368984.0
"Calculate 987654321 divided by 12345 plus 67890",987654321/12345+67890,147894.40024301337
"What's the result of 135 times 246 plus 357 times 468?",135*246+357*468,200286.0
"What is 9999 minus 8888 times 7777 plus 6666?",9999-8888*7777+6666,-69105311.0
"Compute (12 plus 34 plus 56) times (78 plus 90 plus 12)",(12+34+56)*(78+90+12),18360.0
"Calculate (98765 divided by 4321) times (56789 divided by 9876)",(98765/4321)*(56789/9876),131.43224971362088
"Find the product of (123 plus 456) and (789 plus 321) and (654 plus 987)",(123+456)*(789+321)*(654+987),1054654290.0
"Calculate (987654321 divided by 123456789) times (987654321 divided by 123456789)",(987654321/123456789)*(987654321/123456789),64.00000116640001
"What's the sum of 1234 times 5678 and 9876 times 5432?",1234*5678+9876*5432,60653084.0
"What is 12345 minus 6789 plus 54321 minus 9876?",12345-6789+54321-9876,50001.0
"Compute 123 times 456 plus 789 times 321",123*456+789*321,309357.0
"Calculate 987654 divided by 321 plus 654 divided by 987",987654/321+654/987,3077.46635229952
"How much is 111222 plus 333444 plus 555666 plus 777888?",111222+333444+555666+777888,1778220.0
"What is 999888 minus 777666 minus 555444 minus 333222?",999888-777666-555444-333222,-666444.0
"Find the product of 1111 and 2222 and 3333 and 4444",1111*2222*3333*4444,36565159944984.0
"Calculate 9876543210 divided by 1357 times 2468",9876543210/1357*2468,17962644541.10538
"What's the result of (1234 plus 5678) times (9012 plus 3456)?",(1234+5678)*(9012+3456),86178816.0
"Compute (12 times 34) plus (56 times 78) plus (90 times 12)",(12*34)+(56*78)+(90*12),5856.0
"Calculate (987654 divided by 321) times (654987 divided by 123456)",(987654/321)*(654987/123456),16323.762718292612
"How much is 135792 plus 246813 multiplied by 975318 divided by 864209?",135792+246813*975318/864209,414337.07594112074
"What is 98765 minus 43210 times 5 plus 6789 times 12?",98765-43210*5+6789*12,-35817.0
"Find the product of 111 and 222 and the sum of 333 and 444",111*222*(333+444),19146834.0
"Calculate 987654321 divided by 123456 times 789 plus 321",987654321/123456*789+321,6312361.397137442
"What's the sum of 987 times 654 and 321 times 654 and 987 times 321?",987*654+321*654+987*321,1172259.0
"What is 9876 minus 5432 minus 1098 plus 7654 minus 3210?",9876-5432-1098+7654-3210,7790.0
"Compute (135 plus 246) times (357 plus 468) times (579 plus 680)",(135+246)*(357+468)*(579+680),395735175.0
"Calculate (987654 divided by 321) plus (654321 divided by 987)",(987654/321)+(654321/987),3739.7429480442006
"How much is 12345 plus 67890 plus 12345 times 67890?",12345+67890+12345*67890,838182285.0
"What is 98765 minus 43210 plus 98765 times 43210?",98765-43210+98765*43210,4267691205.0
"Find the product of 123456 and 654321 divided by 789456",123456*654321/789456,102323.43965464826
"Calculate 987654321 divided by 123456789 plus 987654321 times 123456789",987654321/123456789+987654321*123456789,1.2193263111263528e+17
"What's the result of 1357 times 2468 plus 9753 times 8642?",1357*2468+9753*8642,87634502.0
"What is 9999 minus 8888 plus 7777 minus 6666 plus 5555?",9999-8888+7777-6666+5555,7777.0
"Compute (1111 plus 2222) times (3333 plus 4444) divided by (5555 plus 6666)",(1111+2222)*(3333+4444)/(5555+6666),2121.0
"Calculate (987654 divided by 321) times (654 divided by 987) plus (123 divided by 456)",(987654/321)*(654/987)+(123/456),2039.0029129918653
"How much is 135792 plus 246813 plus 975318 plus 864209 plus 753198?",135792+246813+975318+864209+753198,2975330.0
"What is 999888 minus 777666 minus 555444 minus 333222 minus 111000?",999888-777666-555444-333222-111000,-777444.0
"Find the product of 11 and 22 and 33 and 44 and 55 and 66",11*22*33*44*55*66,1275523920.0
"Calculate 987654321 divided by 123 divided by 456 divided by 789",987654321/123/456/789,22.31814068115666
"What's the sum of 1234 times 5678 and 8765 times 4321 and 1357 times 9753?",1234*5678+8765*4321+1357*9753,58115038.0
"What is 98765 minus 43210 minus 12345 minus 67890 minus 54321?",98765-43210-12345-67890-54321,-79001.0
"Compute (135 plus 246) times (357 plus 468) divided by (579 plus 680)",(135+246)*(357+468)/(579+680),249.66243050039714
"Calculate (987654 divided by 321) times (654321 divided by 987) times (123456 divided by 789)",(987654/321)*(654321/987)*(123456/789),319160178.4517319
"Find the product of the sum of 1,2,3 and the sum of 4,5,6 and the sum of 7,8,9",(1+2+3)*(4+5+6)*(7+8+9),2160.0
"Calculate (987654321 divided by 123456789) plus (987654321 divided by 123456789) plus (987654321 divided by 123456789)",(987654321/123456789)+(987654321/123456789)+(987654321/123456789),24.000000218700002
"What's the result of 135 times 246 plus 357 times 468 plus 579 times 680 plus 791 times 802?",135*246+357*468+579*680+791*802,1228388.0
"What is 9999 minus 8888 plus 7777 minus 6666 plus 5555 minus 4444 plus 3333?",9999-8888+7777-6666+5555-4444+3333,6666.0
"Compute (12 times 34) plus (56 times 78) minus (90 times 12) plus (34 times 56)",(12*34)+(56*78)-(90*12)+(34*56),5600.0
"Calculate (987654 divided by 321) times (654987 divided by 123456) plus (789012 divided by 345678)",(987654/321)*(654987/123456)+(789012/345678),16326.045223977093
"How much is 135792 plus 246813 plus 975318 minus 864209 minus 753198?",135792+246813+975318-864209-753198,-259484.0
"What is 98765 minus 43210 plus 12345 minus 67890 plus 54321?",98765-43210+12345-67890+54321,54331.0
"Find the product of 111 and 222 and 333 divided by the product of 444 and 555",111*222*333/(444*555),33.3
"Calculate 987654321 divided by 123456 times 789012 divided by 345678",987654321/123456*789012/345678,18260.162341114697
"What's the sum of 987 times 654 and 321 times 654 and 987 times 321 and 654 times 321?",987*654+321*654+987*321+654*321,1382193.0
"What is 9876 minus 5432 minus 1098 plus 7654 minus 3210 plus 9876?",9876-5432-1098+7654-3210+9876,17666.0
"Compute (135 plus 246) times (357 plus 468) times (579 plus 680) times (791 plus 802)",(135+246)*(357+468)*(579+680)*(791+802),630406133775.0
"Calculate (987654 divided by 321) plus (654321 divided by 987) plus (123456 divided by 789)",(987654/321)+(654321/987)+(123456/789),3896.2144309339346
"How much is 12345 plus 67890 plus 12345 times 67890 plus 54321 times 9876?",12345+67890+12345*67890+54321*9876,1374656481.0
"What is 98765 minus 43210 plus 98765 times 43210 minus 12345 times 67890?",98765-43210+98765*43210-12345*67890,3429589155.0
"Find the product of 123456 and 654321 and 789012 and 210987 divided by 987654321",123456*654321*789012*210987/987654321,13615619237709.098
"Calculate 987654321 divided by 123456789 plus 987654321 times 123456789 minus 123456789 times 987654321",987654321/123456789+987654321*123456789-123456789*987654321,16.0
"What's the result of 1357 times 2468 plus 9753 times 8642 minus 1357 times 8642 minus 9753 times 2468?",1357*2468+9753*8642-1357*8642-9753*2468,51836904.0
"What is 9999 minus 8888 plus 7777 minus 6666 plus 5555 minus 4444 plus 3333 minus 2222?",9999-8888+7777-6666+5555-4444+3333-2222,4444.0
"Compute (1111 plus 2222) times (3333 plus 4444) divided by (5555 plus 6666) times (7777 plus 8888)",(1111+2222)*(3333+4444)/(5555+6666)*(7777+8888),35346465.0
"Calculate (987654 divided by 321) times (654 divided by 987) plus (123 divided by 456) times (789 divided by 123)",(987654/321)*(654/987)+(123/456)*(789/123),2040.4634393076549
"How much is 135792 plus 246813 plus 975318 plus 864209 plus 753198 plus 642087 plus 531976?",135792+246813+975318+864209+753198+642087+531976,4149393.0
"What is 999888 minus 777666 minus 555444 minus 333222 minus 111000 plus 999888 plus 777666?",999888-777666-555444-333222-111000+999888+777666,1000110.0
"Find the product of 11 and 22 and 33 and 44 and 55 and 66 and 77 and 88",11*22*33*44*55*66*77*88,8642950081920.0
"Calculate 987654321 divided by 123 divided by 456 divided by 789 divided by 321 divided by 654 divided by 987",987654321/123/456/789/321/654/987,1.0771050880069936e-07
"What's the sum of 1234 times 5678 and 8765 times 4321 and 1357 times 9753 and 2468 times 8642 and 3579 times 7531?",1234*5678+8765*4321+1357*9753+2468*8642+3579*7531,106396943.0
"What is 98765 minus 43210 minus 12345 minus 67890 minus 54321 plus 98765 plus 43210?",98765-43210-12345-67890-54321+98765+43210,62974.0
"Compute (135 plus 246) times (357 plus 468) divided by (579 plus 680) times (791 plus 802) divided by (913 plus 24)",(135+246)*(357+468)/(579+680)*(791+802)/(913+24),424.4527767205258
"Calculate (987654 divided by 321) times (654321 divided by 987) times (123456 divided by 789) times (654987 divided by 321)",(987654/321)*(654321/987)*(123456/789)*(654987/321),651232921506.4315
"Find the product of the sum of 1,2,3,4 and the sum of 5,6,7,8 and the sum of 9,10,11,12",(1+2+3+4)*(5+6+7+8)*(9+10+11+12),10920.0
"Calculate (987654321 divided by 123456789) plus (987654321 divided by 123456789) plus (987654321 divided by 123456789) plus (987654321 divided by 123456789)",(987654321/123456789)+(987654321/123456789)+(987654321/123456789)+(987654321/123456789),32.0000002916
"What's the result of 135 times 246 plus 357 times 468 plus 579 times 680 plus 791 times 802 plus 913 times 24 plus 135 times 468?",135*246+357*468+579*680+791*802+913*24+135*468,1313480.0
"What is 9999 minus 8888 plus 7777 minus 6666 plus 5555 minus 4444 plus 3333 minus 2222 plus 1111?",9999-8888+7777-6666+5555-4444+3333-2222+1111,5555.0
"Compute (12 times 34) plus (56 times 78) minus (90 times 12) plus (34 times 56) minus (78 times 90) plus (12 times 56)",(12*34)+(56*78)-(90*12)+(34*56)-(78*90)+(12*56),-748.0
"Calculate (987654 divided by 321) times (654987 divided by 123456) plus (789012 divided by 345678) times (456789 divided by 987654)",(987654/321)*(654987/123456)+(789012/345678)*(456789/987654),16324.818374918423
"How much is 135792 plus 246813 plus 975318 minus 864209 minus 753198 plus 642087 plus 531976 minus 420865?",135792+246813+975318-864209-753198+642087+531976-420865,493714.0
"What is 98765 minus 43210 plus 12345 minus 67890 plus 54321 minus 98765 plus 43210?",98765-43210+12345-67890+54321-98765+43210,-1224.0
"Find the product of 111 and 222 and 333 divided by the product of 444 and 555 and 666",111*222*333/(444*555*666),0.05
"Calculate 987654321 divided by 123456 times 789012 divided by 345678 times 901234 divided by 567890",987654321/123456*789012/345678*901234/567890,28978.638728155387
"What's the sum of 987 times 654 and 321 times 654 and 987 times 321 and 654 times 321 and 123 times 987 and 456 times 789?",987*654+321*654+987*321+654*321+123*987+456*789,1863378.0
"What is 9876 minus 5432 minus 1098 plus 7654 minus 3210 plus 9876 minus 5432 plus 1098?",9876-5432-1098+7654-3210+9876-5432+1098,13332.0
"Compute (135 plus 246) times (357 plus 468) times (579 plus 680) times (791 plus 802) times (913 plus 24) times (135 plus 357)",(135+246)*(357+468)*(579+680)*(791+802)*(913+24)*(135+357),2.906197492948101e+17
"Calculate (987654 divided by 321) plus (654321 divided by 987) plus (123456 divided by 789) plus (654987 divided by 321) plus (987123 divided by 654)",(987654/321)+(654321/987)+(123456/789)+(654987/321)+(987123/654),7446.03476018027
"How much is 12345 plus 67890 plus 12345 times 67890 plus 54321 times 9876 plus 13579 times 97531 plus 24680 times 86420?",12345+67890+12345*67890+54321*9876+13579*97531+24680*86420,4831875530.0
"What is 98765 minus 43210 plus 98765 times 43210 minus 12345 times 67890 plus 54321 times 9876 minus 13579 times 97531?",98765-43210+98765*43210-12345*67890+54321*9876-13579*97531,2641689902.0
"Find the product of 123456 and 654321 and 789012 and 210987 divided by 987654321 times 123456789 divided by 987654321",123456*654321*789012*210987/987654321*123456789/987654321,1701952389204.596
"Calculate 987654321 divided by 123456789 plus 987654321 times 123456789 minus 123456789 times 987654321 plus 987654321 divided by 123456789",987654321/123456789+987654321*123456789-123456789*987654321+987654321/123456789,24.0000000729
"What's the result of 1357 times 2468 plus 9753 times 8642 minus 1357 times 8642 minus 9753 times 2468 plus 1357 times 9753 plus 2468 times 8642?",1357*2468+9753*8642-1357*8642-9753*2468+1357*9753+2468*8642,86400181.0
"What is 9999 minus 8888 plus 7777 minus 6666 plus 5555 minus 4444 plus 3333 minus 2222 plus 1111 minus 9999 plus 8888?",9999-8888+7777-6666+5555-4444+3333-2222+1111-9999+8888,4444.0
"Compute (1111 plus 2222) times (3333 plus 4444) divided by (5555 plus 6666) times (7777 plus 8888) divided by (9999 plus 1111)",(1111+2222)*(3333+4444)/(5555+6666)*(7777+8888)/(9999+1111),3181.5
"Calculate (987654 divided by 321) times (654 divided by 987) plus (123 divided by 456) times (789 divided by 123) minus (321 divided by 654) times (987 divided by 321)",(987654/321)*(654/987)+(123/456)*(789/123)-(321/654)*(987/321),2038.9542649957282
"How much is 135792 plus 246813 plus 975318 plus 864209 plus 753198 plus 642087 plus 531976 plus 420865 plus 310754 plus 200643?",135792+246813+975318+864209+753198+642087+531976+420865+310754+200643,5081655.0
"What is 999888 minus 777666 minus 555444 minus 333222 minus 111000 plus 999888 plus 777666 plus 555444 plus 333222 plus 111000?",999888-777666-555444-333222-111000+999888+777666+555444+333222+111000,1999776.0
"Find the product of 11 and 22 and 33 and 44 and 55 and 66 and 77 and 88 and 99 and 11",11*22*33*44*55*66*77*88*99*11,9412172639210880.0
"Calculate 987654321 divided by 123 divided by 456 divided by 789 divided by 321 divided by 654 divided by 987 divided by 123 divided by 456 divided by 789",987654321/123/456/789/321/654/987/123/456/789,2.433947016825709e-15
"What's the sum of 1234 times 5678 and 8765 times 4321 and 1357 times 9753 and 2468 times 8642 and 3579 times 7531 and 4680 times 6420?",1234*5678+8765*4321+1357*9753+2468*8642+3579*7531+4680*6420,136442543.0
"What is 98765 minus 43210 minus 12345 minus 67890 minus 54321 plus 98765 plus 43210 plus 12345 plus 67890 plus 54321?",98765-43210-12345-67890-54321+98765+43210+12345+67890+54321,197530.0
"Compute (135 plus 246) times (357 plus 468) divided by (579 plus 680) times (791 plus 802) divided by (913 plus 24) times (135 plus 246) divided by (357 plus 468)",(135+246)*(357+468)/(579+680)*(791+802)/(913+24)*(135+246)/(357+468),196.0200096127519
"Calculate (987654 divided by 321) times (654321 divided by 987) times (123456 divided by 789) times (654987 divided by 321) times (987123 divided by 654) times (321987 divided by 123)",(987654/321)*(654321/987)*(123456/789)*(654987/321)*(987123/654)*(321987/123),2.5731381049177907e+18
"How much is 78901 plus 23456?",78901+23456,102357.0
"Calculate 456789 minus 123456",456789-123456,333333.0
"Find the product of 345 and 789",345*789,272205.0
"What's the result of 56789 divided by 321?",56789/321,176.91277258566979
"What is 123 plus 456 plus 789?",123+456+789,1368.0
"Calculate 9876 minus 5432 minus 1098",9876-5432-1098,3346.0
"How much is 555 times 666?",555*666,369630.0
"What happens when you add 92845 to 45678?",92845+45678,138523.0
"If you multiply 87654 by 12345, what do you get?",87654*12345,1082088630.0
"Can you calculate 987654 divided by 3456?",987654/3456,285.7795138888889
"What's the total of 456789 and 123456 when added together?",456789+123456,580245.0
"If I subtract 87654 from 234567, what's left?",234567-87654,146913.0
"How many times does 999 go into 123456?",123456/999,123.57957957957957
"Multiply 7890 by 1234 and tell me the answer",7890*1234,9736260.0
"What's the value when 345678 is increased by 234567?",345678+234567,580245.0
"When 876543 is decreased by 543210, what remains?",876543-543210,333333.0
"The product of 12345 and 678 equals what?",12345*678,8369910.0
"If you divide 876543 by 945, what's the quotient?",876543/945,927.5587301587302
"Add 456789 and 654321 together and tell me the result",456789+654321,1111110.0
"What number do you get when taking 654321 away from 987654?",987654-654321,333333.0
"When 6789 is multiplied by 5432, what's the outcome?",6789*5432,36877848.0
"Dividing 789456 by 1234 gives what value?",789456/1234,639.7536466774717
"What will be the sum if I add 98765 to 45678?",98765+45678,144443.0
"If I take 54321 from 98765, what number remains?",98765-54321,44444.0
"What's the result of multiplying 45678 by 98765?",45678*98765,4511387670.0
"When 789456 is divided by 456, what do you get?",789456/456,1731.2631578947369
"Determine the value of 12345 plus 67890 plus 54321",12345+67890+54321,134556.0
"What's left after subtracting 34567 from 98765 then 12345?",98765-34567-12345,51853.0
"Compute the value of 987 multiplied by 654 multiplied by 321",987*654*321,207204858.0
"If 5678912 is divided by 8765, what's the result?",5678912/8765,647.9078151739875
"What's the combined value of 123456, 234567, and 345678?",123456+234567+345678,703701.0
"When you take 456789 from 987654 and then 123456, what remains?",987654-456789-123456,407409.0
"Find the result when 1234 is multiplied by 5678 and then by 9012",1234*5678*9012,63143947824.0
"What do you get after dividing 7654321 by 2345 and then by 67?",7654321/2345/67,48.71795181873151
"If I add 12345, then 67890, then 54321, what's my total?",12345+67890+54321,134556.0
"What number is left after taking 87654 from 123456 and then 9876?",123456-87654-9876,25926.0
"When multiplying 123 by 456 by 789 by 321, what do you get?",123*456*789*321,14205351672.0
"Divide 9876543 by 987, then divide the result by 654. What's the answer?",9876543/987/654,15.300656237509644
"What total do I get from adding 135792 and 246813 and 975318?",135792+246813+975318,1357923.0
"After subtracting 333222 and then 444555 from 999888, what's left?",999888-333222-444555,222111.0
"What do you get when multiplying these three numbers: 1234, 5678, and 9012?",1234*5678*9012,63143947824.0
"If 9876543 is divided by 345 and the result multiplied by 678, what's the final value?",9876543/345*678,19409554.069565218
"What's the result of (57289 + 85321) multiplied by 12345?",(57289+85321)*12345,1760520450.0
"By how much does (98765 - 23456) multiplied by 345 equal?",(98765-23456)*345,25981605.0
"What value do you get from 789 × (432 + 567)?",789*(432+567),788211.0
"When 9876543 is divided by (345 + 678), what's the result?",9876543/(345+678),9654.489736070382
"If I add 987654 and 345678, then multiply by 789, what's the result?",(987654+345678)*789,1051998948.0
"After multiplying 12345 by 678, then adding 9012, what's the total?",12345*678+9012,8378922.0
"What's the product of 8765 and the sum of 432 and 198?",8765*(432+198),5521950.0
"When 987654 is divided by 321, then multiplied by 123, what do you get?",(987654/321)*123,378446.8598130841
"What happens when you add 12345 to the product of. 678 and 9012?",12345+678*9012,6122481.0
"If I subtract the product of 345 and 678 from 987654, what remains?",987654-(345*678),753744.0
"What value do I get when multiplying the sum of 123 and 456 by the sum of 789 and 321?",(123+456)*(789+321),642690.0
"Calculate the result of 987654 divided by the product of 345 and 678",987654/(345*678),4.22236757727331
"What's the total of (1234 × 56) plus (7890 × 12)?",1234*56+7890*12,163784.0
"After subtracting 12345 from 67890, then adding 98765, what number do I have?",67890-12345+98765,154310.0
"What do you get when you calculate (123 + 456) × (789 + 321)?",(123+456)*(789+321),642690.0
"If 987654 is divided by 321, then the result is divided by 123, what's the final answer?",(987654/321)/123,25.014664539168756
"What's the combined total of 12345 added to 67890 added to the product of 345 and 678?",12345+67890+345*678,314145.0
"When 987654 is reduced by 345678, then increased by the product of 123 and 456, what's the result?",987654-345678+123*456,698064.0
"What's the result when you multiply 1234 by 5678, then divide by 910?",(1234*5678)/910,7699.6175824175825
"If I add 12345 and 67890, then divide by 78, what value do I get?",(12345+67890)/78,1028.6538461538462
"Calculate the value of 987 × 654 + 321 × 234",987*654+321*234,720612.0
"When (12345 ÷ 678) is multiplied by 9012, what's the result?",(12345/678)*9012,164090.17699115045
"What's the total sum of 11111, 22222, 33333, 44444, and 55555?",11111+22222+33333+44444+55555,166665.0
"If I take 67890 from 123456, then take 54321, what number is left?",123456-67890-54321,1245.0
"What's the product of 365 and 789, divided by 215?",(365*789)/215,1339.4651162790697
"When 987654 is divided by 345, then the result is multiplied by 678, what do you get?",(987654/345)*678,1940954.8173913043
"What total do I get from adding 12345 × 67 to 890 × 12?",12345*67+890*12,837795.0
"If 98765 is reduced by 34567, then increased by 12345, what's the final value?",98765-34567+12345,76543.0
"What happens when you multiply (123 + 456) by (789 - 321)?",(123+456)*(789-321),270972.0
"Calculate (987654 ÷ 321) × (654 ÷ 987)",(987654/321)*(654/987),2038.73317614976
"What's the value of 12345 + 67890 × 55555?",12345+67890*55555,3771641295.0
"If I subtract 34567 × 89012 from 345678, what remains?",345678-34567*89012,-3076532126.0
"What's the product of 111, 222, 333, and 444 all multiplied together?",111*222*333*444,3643368984.0
"When 987654321 is divided by 12345, then increased by 67890, what's the result?",987654321/12345+67890,147894.40024301337
"What's the total of 246 × 135 added to 468 × 357?",246*135+468*357,200286.0
"If I subtract 8888 × 7777 from 9999, then add 6666, what's the result?",9999-8888*7777+6666,-69105311.0
"Calculate the value of (12 + 34 + 56) × (78 + 90 + 12)",(12+34+56)*(78+90+12),18360.0
"If (12345 + 67890) is multiplied by (54321 + 9876), what's the result?",(12345+67890)*(54321+9876),5150846295.0
"When (987654 - 123456) is multiplied by (654321 - 987654), what value do you get?",(987654-123456)*(654321-987654),-288065711934.0
"What's the product when (123 + 456), (789 + 321), and (654 + 987) are all multiplied?",(123+456)*(789+321)*(654+987),1054654290.0
"If (987654321 ÷ 123456789) is multiplied by itself, what's the result?",(987654321/123456789)*(987654321/123456789),64.00000116640001
"What's the combined total of 1234 × 5678 and 9876 × 5432?",1234*5678+9876*5432,60653084.0
"When I calculate 12345 - 6789 + 54321 - 9876, what's the result?",12345-6789+54321-9876,50001.0
"What value do I get from 123 × 456 + 789 × 321?",123*456+789*321,309357.0
"Calculate 987654 ÷ 321 + 654 ÷ 987",987654/321+654/987,3077.46635229952
"What's the combined sum of 111222, 333444, 555666, and 777888?",111222+333444+555666+777888,1778220.0
"If I subtract 777666, 555444, 333222 consecutively from 999888, what remains?",999888-777666-555444-333222,-666444.0
"What's the product of 1111, 2222, 3333, and 4444 all multiplied together?",1111*2222*3333*4444,36565159944984.0
"When 9876543210 is divided by 1357, then multiplied by 2468, what's the result?",9876543210/1357*2468,17962644541.10538
"Calculate the value of (1234 + 5678) × (9012 + 3456)",(1234+5678)*(9012+3456),86178816.0
"If (987654 ÷ 321) is multiplied by (654987 ÷ 123456), what do you get?",(987654/321)*(654987/123456),16323.762718292612
"What's the value of 135792 + 246813 × 975318 ÷ 864209?",135792+246813*975318/864209,414337.07594112074
"When 98765 is reduced by 43210 × 5, then increased by 6789 × 12, what's the result?",98765-43210*5+6789*12,-35817.0
"Calculate the product of 111, 222, and the sum of 333 and 444",111*222*(333+444),19146834.0
"What do you get when 987654321 is divided by 123456, multiplied by 789, then increased by 321?",987654321/123456*789+321,6312361.397137442
"What's the total of 987 × 654, 321 × 654, and 987 × 321 all added together?",987*654+321*654+987*321,1172259.0
